lat,lon,road,risk_score,lanes_weight,nearby_alerts_15km,alert_rank
32.6989948,35.430739,767,2.5,1.0,346,438
32.5907365,35.2921049,60,1.8,2.0,346,439
32.60773777052835,35.26711683839673,65,1.8,1.5,346,440
32.557958945458175,35.319007052128164,675,2.0,1.5,346,441
32.638283841039915,35.333800002834494,65,1.8,1.5,346,442
31.4422211,34.7659992,293,2.0,1.5,345,443
31.4420532,34.7635144,264,2.0,1.5,345,444
31.4020677,34.7887922,40,1.8,1.5,345,445
31.4420083,34.7636335,264,2.0,1.5,345,446
31.4427684,34.7337677,334,2.0,1.0,345,447
31.3376222,34.928846,60,1.8,2.0,345,448
31.454611180283464,34.770150508760395,6,1.5,1.5,345,449
31.44884110729238,34.77078193442523,6,1.5,1.5,345,450
30.621936,34.8036424,40,2.0,1.5,344,451
30.6237269,34.8039153,40,2.0,1.5,344,452
30.6128734,34.8036623,40,2.0,1.5,344,453
30.71894059955423,34.77792119700127,40,2.0,1.5,344,454
30.585461821855386,34.89128042142932,40,2.0,1.5,344,455
31.1466376,35.2202454,258,2.0,1.0,339,456
31.1729599,35.311241,31,1.8,1.5,339,457
31.11745446475783,34.81382675669847,40,1.8,1.5,324,458
32.59754534503219,35.044429150649215,6,1.5,1.5,317,459
32.59921495263283,35.167836922056836,66,1.8,1.0,313,460
29.5602231,34.9579612,90,2.0,1.5,0,461
32.7834105,35.5431339,90,2.5,1.5,0,462
30.4476101,35.1542771,90,2.0,1.5,0,463
32.7366195,35.5686553,90,2.5,1.5,0,464
29.546927,34.9514673,90,2.0,1.5,0,465
32.7669399,35.5506863,90,2.5,1.5,0,466
32.7029973,35.5867464,90,2.5,1.5,0,467
29.5086059,34.9212488,90,2.0,1.5,0,468
30.7469017,35.2281927,90,2.0,1.5,0,469
30.5324523,35.1834213,90,2.0,1.5,0,470
30.2797061,35.0019826,40,2.0,1.5,0,471
30.9885058,34.7653203,40,1.8,1.5,0,472
31.1516406,35.5305192,65,2.5,1.5,0,473
31.2862775,35.5325532,65,2.5,1.5,0,474
30.8991678,35.4300919,65,2.0,1.5,0,475
31.0892598,35.5160608,65,2.5,1.5,0,476
29.7762885,35.0577781,65,2.0,1.5,0,477
32.5876584,34.9305087,67,1.8,1.5,0,478
32.5140128,35.3111461,60,1.8,2.0,0,479
29.5476525,34.9424933,12,2.0,1.5,0,480
32.729458,35.6551484,98,2.5,1.0,0,481
